model,tool,benchmark,parameter,score,weight,weighted_score,note
claude-opus-4-8,cursor,worker-video-feature,Artifact completeness,2,7,0.14,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,worker-video-feature,Requirement traceability,2,10.5,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,worker-video-feature,Task granularity,3,7,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,worker-video-feature,Test-plan coverage,5,10.5,0.525,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,worker-video-feature,Code-reference accuracy,3,7,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,worker-video-feature,MCP / external-source integration,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,worker-video-feature,Reproducibility (artifact persistence),3,7,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,worker-video-feature,Latency to ready-to-implement,5,3.5,0.175,Opus 4.8 planning leg wall_seconds=119 (2.0 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 5.
claude-opus-4-8,cursor,worker-video-feature,Token / API cost,3,3.5,0.105,Opus 4.8 planning leg cost = $2.00 (rate-sheet weighted 30/70: tokens=105100 x $19.0/M-tokens (input/output split not exposed by the Cline/Cursor footer)). Anchor 3: cost-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 2.
claude-opus-4-8,cursor,worker-video-feature,Hand-off friction to implementation,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,worker-video-feature,Artifact completeness,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,worker-video-feature,Requirement traceability,2,10.5,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,worker-video-feature,Task granularity,4,7,0.28,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,worker-video-feature,Test-plan coverage,4,10.5,0.42,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,worker-video-feature,Code-reference accuracy,4,7,0.280,"MEASURED (Opus 4.8): openspec/planning/specs/video-delivery/spec.md makes the real blocker an explicit requirement -- 'normalization MUST NOT collapse a video extension to an image default such as jpeg' -- and tasks.md 2.1 flags broadening STANDARD_PATH_REGEX's capture group 'ONLY if a video extension fails to match'. Correct diagnosis of the normalizeExtension/ALLOWED_EXTENSIONS trap, real symbols cited. Up from the v1 openspec anchor (3); 4 not 5 because the change body does not inline the verbatim source. Anchor 4."
claude-opus-4-8,openspec,worker-video-feature,MCP / external-source integration,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,worker-video-feature,Reproducibility (artifact persistence),5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,worker-video-feature,Latency to ready-to-implement,5,3.5,0.175,Captured wall_seconds=23663 (394 min) is an attended-session measurement artifact -- the Cline session was left open overnight (started 20:42 / execution branch cut 03:17 the next morning) while the planning leg emitted only ~92k tokens of actual generation. Excluded from the latency penalty and scored anchor-5 consistent with the v1 Opus 4.7 run (5) Ralph and every GPT-5.5 OpenSpec cell. See attended-wall-time threat to validity.
claude-opus-4-8,openspec,worker-video-feature,Token / API cost,3,3.5,0.105,Opus 4.8 planning leg cost = $1.75 (rate-sheet weighted 30/70: tokens=92280 x $19.0/M-tokens (input/output split not exposed by the Cline/Cursor footer)). Anchor 3: cost-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 2.
claude-opus-4-8,openspec,worker-video-feature,Hand-off friction to implementation,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,Artifact completeness,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,Requirement traceability,2,10.5,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,Task granularity,4,7,0.28,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,Test-plan coverage,5,10.5,0.525,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,Code-reference accuracy,3,7,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,MCP / external-source integration,3,7,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,Reproducibility (artifact persistence),5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,github-repository-bootstrap,Latency to ready-to-implement,5,3.5,0.175,Captured wall_seconds=2335 (38.9 min) brackets the operator date-stamp at session prep through plan-render; the screenshot timestamp confirms plan completion (12:36:49 local) but not the actual Send so the attended start is unreliable and per operator testimony active planning was under 10 min. Excluded from the latency penalty and scored anchor-5 consistent with the v1 Opus 4.7 run (5) Ralph and the GPT-5.5 OpenSpec cell. See attended-wall-time threat to validity.
claude-opus-4-8,openspec,github-repository-bootstrap,Token / API cost,3,3.5,0.105,Opus 4.8 planning leg cost = $1.46 (rate-sheet weighted 30/70: tokens=76592 x $19.0/M-tokens (input/output split not exposed by the Cline/Cursor footer)). Anchor 3: cost-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 3.
claude-opus-4-8,openspec,github-repository-bootstrap,Hand-off friction to implementation,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,worker-video-feature,Artifact completeness,2,7,0.14,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,worker-video-feature,Requirement traceability,3,10.5,0.315,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,worker-video-feature,Task granularity,4,7,0.28,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,worker-video-feature,Test-plan coverage,4,10.5,0.42,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,worker-video-feature,Code-reference accuracy,4,7,0.280,"MEASURED (Opus 4.8): ralph/planning/PLAN.md S1.4 correctly diagnoses the real blocker -- 'normalizeExtension() falls back to ""jpeg"" for any extension not in ALLOWED_EXTENSIONS. This is the key blocker: a .mp4 URL is currently normalized to jpeg' -- which the v1 Opus 4.7 ralph plan inverted (it asserted the [a-z]+ regex already accepts mp4). S3.2 still carries a residual imprecision ('\.([a-z]+) already captures mp4/webm/mov' drops the digit in mp4), so 4 not 5. Up from the v1 ralph anchor (3). Anchor 4: 'references verifiable; minor stale signatures.'"
claude-opus-4-8,ralph,worker-video-feature,MCP / external-source integration,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,worker-video-feature,Reproducibility (artifact persistence),4,7,0.28,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,worker-video-feature,Latency to ready-to-implement,5,3.5,0.175,Opus 4.8 planning leg wall_seconds=450 (7.5 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 5.
claude-opus-4-8,ralph,worker-video-feature,Token / API cost,3,3.5,0.105,Opus 4.8 planning leg cost = $1.79 (rate-sheet weighted 30/70: tokens=94019 x $19.0/M-tokens (input/output split not exposed by the Cline/Cursor footer)). Anchor 3: cost-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 2.
claude-opus-4-8,ralph,worker-video-feature,Hand-off friction to implementation,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,Artifact completeness,2,7,0.14,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,Requirement traceability,1,10.5,0.105,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (1); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,Task granularity,4,7,0.28,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,Test-plan coverage,4,10.5,0.42,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,Code-reference accuracy,3,7,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,MCP / external-source integration,3,7,0.21,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (3); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,Reproducibility (artifact persistence),4,7,0.28,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (4); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,ralph,github-repository-bootstrap,Latency to ready-to-implement,5,3.5,0.175,Opus 4.8 planning leg wall_seconds=215 (3.6 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 5.
claude-opus-4-8,ralph,github-repository-bootstrap,Token / API cost,3,3.5,0.105,Opus 4.8 planning leg cost = $1.48 (rate-sheet weighted 30/70: tokens=78043 x $19.0/M-tokens (input/output split not exposed by the Cline/Cursor footer)). Anchor 3: cost-anchor schedule per Appendix A. v1 Opus 4.7 on the same cell scored 4.
claude-opus-4-8,ralph,github-repository-bootstrap,Hand-off friction to implementation,5,7,0.35,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/ralph/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,github-repository-bootstrap,Tool licensing & accessibility,2,5,0.1,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,github-repository-bootstrap,Learning curve / time-to-productivity,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,github-repository-bootstrap,Human-in-the-loop validation experience,4,5,0.200,"Cursor Plan Mode renders the plan card and absorbs follow-up turns in-thread under Opus 4.8; the operator can refine the plan in the same chat without restarting. No clarifying-question card is surfaced (the planner resolves scope ambiguity inside the plan body, e.g. the cursor worker plan fixes the avi/mkv question by excluding them). Anchor 4. v1 Opus 4.7 on the same cell scored 4."
claude-opus-4-8,cursor,github-repository-bootstrap,Autonomous capacity,1,5,0.05,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (1); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,github-repository-bootstrap,Runtime integration & ergonomics,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,github-repository-bootstrap,Code-review / hand-off review surface,2,5,0.1,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/github-repository-bootstrap/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,worker-video-feature,Tool licensing & accessibility,2,5,0.1,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,worker-video-feature,Learning curve / time-to-productivity,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,worker-video-feature,Human-in-the-loop validation experience,4,5,0.200,"Cursor Plan Mode renders the plan card and absorbs follow-up turns in-thread under Opus 4.8; the operator can refine the plan in the same chat without restarting. No clarifying-question card is surfaced (the planner resolves scope ambiguity inside the plan body, e.g. the cursor worker plan fixes the avi/mkv question by excluding them). Anchor 4. v1 Opus 4.7 on the same cell scored 4."
claude-opus-4-8,cursor,worker-video-feature,Autonomous capacity,1,5,0.05,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (1); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,worker-video-feature,Runtime integration & ergonomics,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,cursor,worker-video-feature,Code-review / hand-off review surface,2,5,0.1,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/cursor/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,worker-video-feature,Tool licensing & accessibility,5,5,0.25,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (5); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,worker-video-feature,Learning curve / time-to-productivity,2,5,0.1,MEASURED (Opus 4.8): the 4.8 plan body for this parameter lands on the same Appendix A anchor as v1 Opus 4.7 (2); parity confirmed by reading runs/claude-opus-4-8/worker-video-feature/openspec/planning/. Tool-surface and plan-structure anchors are tool-determined and did not move between the 4.7 and 4.8 captures on this cell.
claude-opus-4-8,openspec,worker-video-feature,Human-in-the-loop validation experience,4,5,0.200,"This cohort drives OpenSpec through Cline-as-extension (tool_version = Cline), which exposes the in-flight chat alongside the OpenSpec change directory; the operator can refine the change in the same chat without restarting. Anchor 4. The 4.7 cohort drove OpenSpec headlessly (anchor 2); the lift is a driver change captured in metadata.json, not a model change. v1 Opus 4.7 on the same cell scored 2."
