model,tool,benchmark,repeat,parameter,score,weight,weighted_score,note
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Code-reference accuracy,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,personal-blog-scaffold,r2,MCP / external-source integration,3,7,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Reproducibility (artifact persistence),5,7,0.35,HELD 5 (calibration): identical 4-artefact change dir (proposal/design/tasks/specs) as frozen repeat-0; openspec change is CLI-validatable; frozen anchor preserved.
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Latency to ready-to-implement,5,3.5,0.175,MECHANICAL: planning wall 362s (6.0 min) -> anchor 5 (measured started_at->ended_at).
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Token / API cost,3,3.5,0.105,MECHANICAL: planning cost $1.134 (59688 tok x $19/M rate-card) -> anchor 3.
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Hand-off friction to implementation,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Tool licensing & accessibility,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Learning curve / time-to-productivity,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Human-in-the-loop validation experience,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Autonomous capacity,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Runtime integration & ergonomics,2,5,0.1,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,openspec,personal-blog-scaffold,r2,Code-review / hand-off review surface,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Artifact completeness,2,7,0.14,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Requirement traceability,1,10.5,0.105,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Task granularity,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Test-plan coverage,4,10.5,0.42,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Code-reference accuracy,3,7,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r1,MCP / external-source integration,3,7,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Reproducibility (artifact persistence),4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Latency to ready-to-implement,5,3.5,0.175,MECHANICAL: planning wall 207s (3.5 min) -> anchor 5 (measured started_at->ended_at).
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Token / API cost,4,3.5,0.14,MECHANICAL: planning cost $0.699 (36789 tok x $19/M rate-card) -> anchor 4.
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Hand-off friction to implementation,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Tool licensing & accessibility,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Learning curve / time-to-productivity,3,5,0.15,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Human-in-the-loop validation experience,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Autonomous capacity,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Runtime integration & ergonomics,3,5,0.15,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,github-repository-bootstrap,r1,Code-review / hand-off review surface,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Artifact completeness,2,7,0.14,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Requirement traceability,1,10.5,0.105,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Task granularity,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Test-plan coverage,4,10.5,0.42,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Code-reference accuracy,3,7,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r2,MCP / external-source integration,3,7,0.21,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Reproducibility (artifact persistence),4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Latency to ready-to-implement,5,3.5,0.175,MECHANICAL: planning wall 277s (4.6 min) -> anchor 5 (measured started_at->ended_at).
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Token / API cost,4,3.5,0.14,MECHANICAL: planning cost $0.738 (38833 tok x $19/M rate-card) -> anchor 4.
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Hand-off friction to implementation,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Tool licensing & accessibility,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Learning curve / time-to-productivity,3,5,0.15,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Human-in-the-loop validation experience,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Autonomous capacity,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Runtime integration & ergonomics,3,5,0.15,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,github-repository-bootstrap,r2,Code-review / hand-off review surface,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,worker-video-feature,r1,Artifact completeness,2,7,0.14,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r1,Requirement traceability,3,10.5,0.315,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r1,Task granularity,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r1,Test-plan coverage,4,10.5,0.42,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r1,Code-reference accuracy,4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r1,MCP / external-source integration,4,7,0.28,CONTENT-MOVE 5->4: ticket-linked CMS reference code at cognitiverun/api could not be fetched this run (PLAN.md S1.3: anonymous fetch HTTP 404); Jira + core-services GitHub reads faithful. Anchor 4. Frozen repeat-0 and repeat-2 fetched it (anchor 5).
claude-opus-4-8,ralph,worker-video-feature,r1,Reproducibility (artifact persistence),4,7,0.28,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r1,Latency to ready-to-implement,4,3.5,0.14,MECHANICAL: planning wall 757s (12.6 min) -> anchor 4 (measured started_at->ended_at).
claude-opus-4-8,ralph,worker-video-feature,r1,Token / API cost,3,3.5,0.105,MECHANICAL: planning cost $1.239 (65205 tok x $19/M rate-card) -> anchor 3.
claude-opus-4-8,ralph,worker-video-feature,r1,Hand-off friction to implementation,5,7,0.35,PLAN-CONTENT: repeat artefact reproduces the frozen repeat-0 anchor (verified by re-reading planning artefacts).
claude-opus-4-8,ralph,worker-video-feature,r1,Tool licensing & accessibility,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,worker-video-feature,r1,Learning curve / time-to-productivity,3,5,0.15,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,worker-video-feature,r1,Human-in-the-loop validation experience,4,5,0.2,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
claude-opus-4-8,ralph,worker-video-feature,r1,Autonomous capacity,5,5,0.25,TOOL-SURFACE: driver/tool-determined (Cline-as-extension held constant across repeats); held at frozen repeat-0 anchor.
