model,tool,benchmark,parameter,score,weight,weighted_score,note
gpt-5-5,openspec,worker-video-feature,Task granularity,4,7,0.28,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,worker-video-feature,Test-plan coverage,4,10.5,0.42,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,worker-video-feature,Code-reference accuracy,3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,worker-video-feature,MCP / external-source integration,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,worker-video-feature,Reproducibility (artifact persistence),5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,worker-video-feature,Latency to ready-to-implement,5,3.5,0.17,GPT-5-5 planning leg wall_seconds=269 (4.5 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus on the same cell scored 5.
gpt-5-5,openspec,worker-video-feature,Token / API cost,3,3.5,0.10,GPT-5-5 planning leg cost = $1.57 (rate-sheet weighted 30/70: tokens=69976 x $22.5/M-tokens (method=rate-sheet weighted 30/70: token_estimate × 22.5 USD/M-tokens (input/output split not exposed by Cline/Cursor footer).)). Anchor 3: cost-anchor schedule per Appendix A. v1 Opus on the same cell scored 2.
gpt-5-5,openspec,worker-video-feature,Hand-off friction to implementation,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,Artifact completeness,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,Requirement traceability,2,10.5,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,Task granularity,4,7,0.28,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,Test-plan coverage,5,10.5,0.525,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,Code-reference accuracy,3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,MCP / external-source integration,3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,Reproducibility (artifact persistence),5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,Latency to ready-to-implement,5,3.5,0.17,GPT-5-5 planning leg wall_seconds=181 (3.0 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus on the same cell scored 5.
gpt-5-5,openspec,github-repository-bootstrap,Token / API cost,4,3.5,0.14,GPT-5-5 planning leg cost = $0.86 (rate-sheet weighted 30/70: tokens=38406 x $22.5/M-tokens (method=rate-sheet weighted 30/70: token_estimate × 22.5 USD/M-tokens (input/output split not exposed by Cline/Cursor footer).)). Anchor 4: cost-anchor schedule per Appendix A. v1 Opus on the same cell scored 3.
gpt-5-5,openspec,github-repository-bootstrap,Hand-off friction to implementation,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,Artifact completeness,2,7,0.14,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,Requirement traceability,3,10.5,0.315,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,Task granularity,4,7,0.28,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,Test-plan coverage,4,10.5,0.42,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,Code-reference accuracy,3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,MCP / external-source integration,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,Reproducibility (artifact persistence),4,7,0.28,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,Latency to ready-to-implement,5,3.5,0.17,GPT-5-5 planning leg wall_seconds=176 (2.9 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus on the same cell scored 5.
gpt-5-5,ralph,worker-video-feature,Token / API cost,3,3.5,0.10,GPT-5-5 planning leg cost = $1.24 (rate-sheet weighted 30/70: tokens=55205 x $22.5/M-tokens (method=rate-sheet weighted 30/70: token_estimate × 22.5 USD/M-tokens (input/output split not exposed by Cline/Cursor footer).)). Anchor 3: cost-anchor schedule per Appendix A. v1 Opus on the same cell scored 2.
gpt-5-5,ralph,worker-video-feature,Hand-off friction to implementation,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,Artifact completeness,2,7,0.14,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,Requirement traceability,1,10.5,0.105,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (1). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,Task granularity,4,7,0.28,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,Test-plan coverage,4,10.5,0.42,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,Code-reference accuracy,3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,MCP / external-source integration,3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,Reproducibility (artifact persistence),4,7,0.28,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,Latency to ready-to-implement,5,3.5,0.17,GPT-5-5 planning leg wall_seconds=270 (4.5 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus on the same cell scored 5.
gpt-5-5,ralph,github-repository-bootstrap,Token / API cost,3,3.5,0.10,GPT-5-5 planning leg cost = $1.20 (rate-sheet weighted 30/70: tokens=53254 x $22.5/M-tokens (method=rate-sheet weighted 30/70: token_estimate × 22.5 USD/M-tokens (input/output split not exposed by Cline/Cursor footer).)). Anchor 3: cost-anchor schedule per Appendix A. v1 Opus on the same cell scored 4.
gpt-5-5,ralph,github-repository-bootstrap,Hand-off friction to implementation,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,github-repository-bootstrap,Tool licensing & accessibility,2,5,0.1,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,github-repository-bootstrap,Learning curve / time-to-productivity,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,github-repository-bootstrap,Human-in-the-loop validation experience,4,5,0.20,"Plan-card hand-off plus in-thread refinement under GPT-5-5. Unlike rev-3 gpt-5-3-codex, the GPT-5-5 cursor planner does not surface clarifying-question cards before committing; it resolves scope ambiguity unilaterally inside the plan body (e.g. on the worker-video-feature cell, the plan explicitly states 'the comment's avi/mkv mention will be treated as non-goal unless explicitly requested', collapsing the ambiguity without an operator round-trip). Score stays at the Opus anchor 4: 'Plan-card hand-off plus in-thread refinement; the chat absorbs follow-up turns.' Opus on the same cell scored 4."
gpt-5-5,cursor,github-repository-bootstrap,Autonomous capacity,1,5,0.05,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (1). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,github-repository-bootstrap,Runtime integration & ergonomics,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,github-repository-bootstrap,Code-review / hand-off review surface,2,5,0.1,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,worker-video-feature,Tool licensing & accessibility,2,5,0.1,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,worker-video-feature,Learning curve / time-to-productivity,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,worker-video-feature,Human-in-the-loop validation experience,4,5,0.20,"Plan-card hand-off plus in-thread refinement under GPT-5-5. Unlike rev-3 gpt-5-3-codex, the GPT-5-5 cursor planner does not surface clarifying-question cards before committing; it resolves scope ambiguity unilaterally inside the plan body (e.g. on the worker-video-feature cell, the plan explicitly states 'the comment's avi/mkv mention will be treated as non-goal unless explicitly requested', collapsing the ambiguity without an operator round-trip). Score stays at the Opus anchor 4: 'Plan-card hand-off plus in-thread refinement; the chat absorbs follow-up turns.' Opus on the same cell scored 4."
gpt-5-5,cursor,worker-video-feature,Autonomous capacity,1,5,0.05,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (1). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,worker-video-feature,Runtime integration & ergonomics,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,cursor,worker-video-feature,Code-review / hand-off review surface,2,5,0.1,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,worker-video-feature,Tool licensing & accessibility,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,worker-video-feature,Learning curve / time-to-productivity,2,5,0.1,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,worker-video-feature,Human-in-the-loop validation experience,4,5,0.20,"Cline-as-extension exposes the in-flight chat alongside the OpenSpec change directory under GPT-5-5; the operator can refine the plan in the same chat without restarting, and Cline absorbs follow-up turns. No clarifying-question card. Anchor 4. Same lift as rev-3 gpt-5-3-codex (driver, not model). Opus on the same cell scored 2."
gpt-5-5,openspec,worker-video-feature,Autonomous capacity,2,5,0.1,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,worker-video-feature,Runtime integration & ergonomics,2,5,0.1,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,worker-video-feature,Code-review / hand-off review surface,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,Tool licensing & accessibility,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,Learning curve / time-to-productivity,2,5,0.1,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,Human-in-the-loop validation experience,4,5,0.20,"Cline-as-extension exposes the in-flight chat alongside the OpenSpec change directory under GPT-5-5; the operator can refine the plan in the same chat without restarting, and Cline absorbs follow-up turns. No clarifying-question card. Anchor 4. Same lift as rev-3 gpt-5-3-codex (driver, not model). Opus on the same cell scored 2."
gpt-5-5,openspec,github-repository-bootstrap,Autonomous capacity,2,5,0.1,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,Runtime integration & ergonomics,2,5,0.1,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,openspec,github-repository-bootstrap,Code-review / hand-off review surface,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,Tool licensing & accessibility,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,Learning curve / time-to-productivity,3,5,0.15,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,Human-in-the-loop validation experience,4,5,0.20,"Cline-as-extension exposes the in-flight chat alongside the Ralph loop iteration under GPT-5-5; the operator can refine PLAN.md in the same chat without restarting. No clarifying-question card. Anchor 4. Same lift as rev-3 gpt-5-3-codex (driver, not model). Opus on the same cell scored 2."
gpt-5-5,ralph,worker-video-feature,Autonomous capacity,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,Runtime integration & ergonomics,3,5,0.15,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,worker-video-feature,Code-review / hand-off review surface,4,5,0.2,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,Tool licensing & accessibility,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,Learning curve / time-to-productivity,3,5,0.15,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,Human-in-the-loop validation experience,4,5,0.20,"Cline-as-extension exposes the in-flight chat alongside the Ralph loop iteration under GPT-5-5; the operator can refine PLAN.md in the same chat without restarting. No clarifying-question card. Anchor 4. Same lift as rev-3 gpt-5-3-codex (driver, not model). Opus on the same cell scored 2."
gpt-5-5,ralph,github-repository-bootstrap,Autonomous capacity,5,5,0.25,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,Runtime integration & ergonomics,3,5,0.15,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,ralph,github-repository-bootstrap,Code-review / hand-off review surface,4,5,0.2,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,Artifact completeness,2,7,0.14,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,Requirement traceability,2,10.5,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (2). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,Task granularity,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,Test-plan coverage,5,10.5,0.525,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,Code-reference accuracy,5,7,0.35,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (5). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,MCP / external-source integration,3,7,0.21,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (3). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,Reproducibility (artifact persistence),4,7,0.28,Cross-model-stable: GPT-5-5's plan body for this parameter is materially equivalent to v1 Opus on the same cell (4). See deviations.json for any cross-model behavioural notes that did NOT change the rubric anchor.
gpt-5-5,opencode,github-repository-bootstrap,Latency to ready-to-implement,5,3.5,0.17,GPT-5-5 planning leg wall_seconds=119 (2.0 min). Anchor 5: latency-anchor schedule per Appendix A. v1 Opus on the same cell scored 5.
gpt-5-5,opencode,github-repository-bootstrap,Token / API cost,4,3.5,0.14,GPT-5-5 planning leg cost = $1.00 (provider-reported via opencode session export (method=rate-sheet (opencode_run.sh backfill; provider did not surface USD))). Anchor 4: cost-anchor schedule per Appendix A. v1 Opus on the same cell scored 4.
